entry_no,original_id,base_id,original_suffix,original_replate_no,parent_id,final_id,assigned_isolate_no,changed,reason
1,CHA11P1P1_1,CHA11P1P1,1,,,CHA11P1P1_1,1,no,kept existing numeric isolate number
2,CHA11P1P1_2,CHA11P1P1,2,,,CHA11P1P1_2,2,no,kept existing numeric isolate number
3,CHA11P1P1_3,CHA11P1P1,3,,,CHA11P1P1_3,3,no,kept existing numeric isolate number
4,CHA11P1P1_4,CHA11P1P1,4,,,CHA11P1P1_4,4,no,kept existing numeric isolate number
5,CHA11P1P1_5,CHA11P1P1,5,,,CHA11P1P1_5,5,no,kept existing numeric isolate number
6,CHA11P1P1_6,CHA11P1P1,6,,,CHA11P1P1_6,6,no,kept existing numeric isolate number
7,CHA11P1P1_7,CHA11P1P1,7,,,CHA11P1P1_7,7,no,kept existing numeric isolate number
8,CHA11P2P1_1,CHA11P2P1,1,,,CHA11P2P1_1,1,no,kept existing numeric isolate number
9,CHA11P2P1_2,CHA11P2P1,2,,,CHA11P2P1_2,2,no,kept existing numeric isolate number
10,CHA11P2P1_3,CHA11P2P1,3,,,CHA11P2P1_3,3,no,kept existing numeric isolate number
11,CHA11P2P1_4,CHA11P2P1,4,,,CHA11P2P1_4,4,no,kept existing numeric isolate number
12,CHA11P2P1_5,CHA11P2P1,5,,,CHA11P2P1_5,5,no,kept existing numeric isolate number
13,CHA11P2P1_6,CHA11P2P1,6,,,CHA11P2P1_6,6,no,kept existing numeric isolate number
14,CHA11P2P1_7,CHA11P2P1,7,,,CHA11P2P1_7,7,no,kept existing numeric isolate number
15,CHA11P1Q1_1,CHA11P1Q1,1,,,CHA11P1Q1_1,1,no,kept existing numeric isolate number
16,CHA11P1Q1_2,CHA11P1Q1,2,,,CHA11P1Q1_2,2,no,kept existing numeric isolate number
17,CHA11P1Q1_3,CHA11P1Q1,3,,,CHA11P1Q1_3,3,no,kept existing numeric isolate number
18,CHA11P1Q1_4,CHA11P1Q1,4,,,CHA11P1Q1_4,4,no,kept existing numeric isolate number
19,CHA11P1Q1_5,CHA11P1Q1,5,,,CHA11P1Q1_5,5,no,kept existing numeric isolate number
20,CHA11P2Q1_1,CHA11P2Q1,1,,,CHA11P2Q1_1,1,no,kept existing numeric isolate number
21,CHA11P1P2_1,CHA11P1P2,1,,,CHA11P1P2_1,1,no,kept existing numeric isolate number
