seq_id,current_id,cultivar_code,cultivar,field,ignored_no,type,layer,media,replicate,isolate_no
A1001,CHA11P1P1_1,CHA,challenger,1,1,peel,1,pda,1,1
A1002,CHA11P1P1_2,CHA,challenger,1,1,peel,1,pda,1,2
A1003,CHA11P1P1_3,CHA,challenger,1,1,peel,1,pda,1,3
A1004,CHA11P1P1_4,CHA,challenger,1,1,peel,1,pda,1,4
A1005,CHA11P1P1_5,CHA,challenger,1,1,peel,1,pda,1,5
A1006,CHA11P1P1_6,CHA,challenger,1,1,peel,1,pda,1,6
A1007,CHA11P1P1_7,CHA,challenger,1,1,peel,1,pda,1,7
A1008,CHA11P2P1_1,CHA,challenger,1,1,peel,2,pda,1,1
A1009,CHA11P2P1_2,CHA,challenger,1,1,peel,2,pda,1,2
A1010,CHA11P2P1_3,CHA,challenger,1,1,peel,2,pda,1,3
A1011,CHA11P2P1_4,CHA,challenger,1,1,peel,2,pda,1,4
A1012,CHA11P2P1_5,CHA,challenger,1,1,peel,2,pda,1,5
A1013,CHA11P2P1_6,CHA,challenger,1,1,peel,2,pda,1,6
A1014,CHA11P2P1_7,CHA,challenger,1,1,peel,2,pda,1,7
A1015,CHA11P1Q1_1,CHA,challenger,1,1,peel,1,1/10 pda,1,1
A1016,CHA11P1Q1_2,CHA,challenger,1,1,peel,1,1/10 pda,1,2
A1017,CHA11P1Q1_3,CHA,challenger,1,1,peel,1,1/10 pda,1,3
A1018,CHA11P1Q1_4,CHA,challenger,1,1,peel,1,1/10 pda,1,4
A1019,CHA11P1Q1_5,CHA,challenger,1,1,peel,1,1/10 pda,1,5
A1020,CHA11P2Q1_1,CHA,challenger,1,1,peel,2,1/10 pda,1,1
A1021,CHA11P1P2_1,CHA,challenger,1,1,peel,1,pda,2,1
A1022,CHA11P1P2_2,CHA,challenger,1,1,peel,1,pda,2,2
A1023,CHA11P1P2_3,CHA,challenger,1,1,peel,1,pda,2,3
A1024,CHA11P1P2_4,CHA,challenger,1,1,peel,1,pda,2,4
A1025,CHA11P1P2_5,CHA,challenger,1,1,peel,1,pda,2,5
A1026,CHA11P1P2_6,CHA,challenger,1,1,peel,1,pda,2,6
A1027,CHA11P1P2_7,CHA,challenger,1,1,peel,1,pda,2,7
A1028,CHA11P1P2_8,CHA,challenger,1,1,peel,1,pda,2,8
A1029,CHA11P1P2_9,CHA,challenger,1,1,peel,1,pda,2,9
A1030,CHA11P1P2_10,CHA,challenger,1,1,peel,1,pda,2,10
A1031,CHA11P1P2_11,CHA,challenger,1,1,peel,1,pda,2,11
A1032,CHA11P1P2_12,CHA,challenger,1,1,peel,1,pda,2,12
A1033,CHA11P1P2_13,CHA,challenger,1,1,peel,1,pda,2,13
A1034,CHA11P1P2_14,CHA,challenger,1,1,peel,1,pda,2,14
A1035,CHA11P2P2_1,CHA,challenger,1,1,peel,2,pda,2,1
A1036,CHA11P2P2_2,CHA,challenger,1,1,peel,2,pda,2,2
A1037,CHA11P3P2_1,CHA,challenger,1,1,peel,3,pda,2,1
A1038,CHA11P3P2_2,CHA,challenger,1,1,peel,3,pda,2,2
A1039,CHA11P3P2_3,CHA,challenger,1,1,peel,3,pda,2,3
A1040,CHA11P3P2_4,CHA,challenger,1,1,peel,3,pda,2,4
A1041,CHA11P3P2_5,CHA,challenger,1,1,peel,3,pda,2,5
A1042,CHA11P1Q2_1,CHA,challenger,1,1,peel,1,1/10 pda,2,1
A1043,CHA11P1Q2_2,CHA,challenger,1,1,peel,1,1/10 pda,2,2
A1044,CHA11P1Q2_3,CHA,challenger,1,1,peel,1,1/10 pda,2,3
A1045,CHA11P1Q2_4,CHA,challenger,1,1,peel,1,1/10 pda,2,4
A1046,CHA11P1Q2_5,CHA,challenger,1,1,peel,1,1/10 pda,2,5
A1047,CHA11P2Q2_1,CHA,challenger,1,1,peel,2,1/10 pda,2,1
A1048,CHA11P2Q2_2,CHA,challenger,1,1,peel,2,1/10 pda,2,2
A1049,CHA11P2Q2_3,CHA,challenger,1,1,peel,2,1/10 pda,2,3
A1050,CHA11P2Q2_4,CHA,challenger,1,1,peel,2,1/10 pda,2,4
A1051,CHA11P2Q2_5,CHA,challenger,1,1,peel,2,1/10 pda,2,5
A1052,CHA11D1P1_1,CHA,challenger,1,1,crushed,1,pda,1,1
A1053,CHA11D1P1_2,CHA,challenger,1,1,crushed,1,pda,1,2
A1054,CHA11D1P1_3,CHA,challenger,1,1,crushed,1,pda,1,3
A1055,CHA11D1P1_4,CHA,challenger,1,1,crushed,1,pda,1,4
A1056,CHA11D1P1_5,CHA,challenger,1,1,crushed,1,pda,1,5
A1057,CHA11D1P1_6,CHA,challenger,1,1,crushed,1,pda,1,6
A1058,CHA11D1P1_7,CHA,challenger,1,1,crushed,1,pda,1,7
A1059,CHA11D1P1_8,CHA,challenger,1,1,crushed,1,pda,1,8
A1060,CHA11D1P1_9,CHA,challenger,1,1,crushed,1,pda,1,9
